Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Numericki'], Accuracy: 0.5474, Spearman: 0.9143
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Numericki'], Accuracy: 0.5921, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Numericki'], Accuracy: 0.5447, Spearman: 0.9534
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Numericki'], Accuracy: 0.4658, Spearman: 0.8556
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Numericki'], Accuracy: 0.5579, Spearman: 0.9293
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Numericki'], Accuracy: 0.5474, Spearman: 0.9203
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Numericki'], Accuracy: 0.5895, Spearman: 0.9594
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Numericki'], Accuracy: 0.5579, Spearman: 0.9714
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Numericki'], Accuracy: 0.5026, Spearman: 0.9429
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Domacina'], Accuracy: 0.5632, Spearman: 0.9549
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Domacina'], Accuracy: 0.5500, Spearman: 0.9188
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Domacina'], Accuracy: 0.5711, Spearman: 0.9729
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Domacina'], Accuracy: 0.5500, Spearman: 0.9459
