Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Numericki'], Accuracy: 0.5447, Spearman: 0.8977
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Numericki'], Accuracy: 0.5289, Spearman: 0.7218
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Numericki'], Accuracy: 0.4526, Spearman: 0.6737
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Numericki'], Accuracy: 0.4974, Spearman: 0.7850
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Numericki'], Accuracy: 0.5632, Spearman: 0.7729
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Numericki'], Accuracy: 0.5526, Spearman: 0.8887
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Numericki'], Accuracy: 0.5474, Spearman: 0.6977
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Numericki'], Accuracy: 0.4816, Spearman: 0.7188
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Domacina'], Accuracy: 0.4579, Spearman: 0.7248
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Domacina'], Accuracy: 0.5605, Spearman: 0.7609
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Domacina'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Domacina'], Accuracy: 0.5263, Spearman: 0.6692
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Domacina'], Accuracy: 0.4342, Spearman: 0.6977
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Gosta'], Accuracy: 0.4921, Spearman: 0.8301
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Gosta'], Accuracy: 0.5579, Spearman: 0.7744
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Gosta'], Accuracy: 0.5237, Spearman: 0.7429
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Gosta'], Accuracy: 0.5395, Spearman: 0.6120
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Otezana Forma Gosta'], Accuracy: 0.4579, Spearman: 0.5714
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Domacin -1 utakmica'], Accuracy: 0.4474, Spearman: 0.6647
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Domacin -1 utakmica'], Accuracy: 0.5553, Spearman: 0.7940
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Domacin -1 utakmica'], Accuracy: 0.5526, Spearman: 0.7158
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Domacin -1 utakmica'], Accuracy: 0.5289, Spearman: 0.6090
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Domacin -1 utakmica'], Accuracy: 0.4316, Spearman: 0.5068
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Domacin -2 utakmica'], Accuracy: 0.4868, Spearman: 0.5759
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Domacin -2 utakmica'], Accuracy: 0.5579, Spearman: 0.7910
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Domacin -2 utakmica'], Accuracy: 0.5684, Spearman: 0.6992
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Domacin -2 utakmica'], Accuracy: 0.5579, Spearman: 0.6331
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Domacin -2 utakmica'], Accuracy: 0.4421, Spearman: 0.4602
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Domacin -3 utakmica'], Accuracy: 0.4605, Spearman: 0.6782
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Domacin -3 utakmica'], Accuracy: 0.5553, Spearman: 0.7729
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Domacin -3 utakmica'], Accuracy: 0.5605, Spearman: 0.7218
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Domacin -3 utakmica'], Accuracy: 0.5447, Spearman: 0.5955
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Domacin -3 utakmica'], Accuracy: 0.4395, Spearman: 0.4992
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Domacin -4 utakmica'], Accuracy: 0.4737, Spearman: 0.7008
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Domacin -4 utakmica'], Accuracy: 0.5605, Spearman: 0.7895
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Domacin -4 utakmica'], Accuracy: 0.5500, Spearman: 0.6947
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Domacin -4 utakmica'], Accuracy: 0.5579, Spearman: 0.6421
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Domacin -4 utakmica'], Accuracy: 0.4211, Spearman: 0.6331
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Domacin -5 utakmica'], Accuracy: 0.4342, Spearman: 0.5564
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Domacin -5 utakmica'], Accuracy: 0.5526, Spearman: 0.6977
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Domacin -5 utakmica'], Accuracy: 0.5421, Spearman: 0.7008
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Domacin -5 utakmica'], Accuracy: 0.5553, Spearman: 0.6045
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Domacin -5 utakmica'], Accuracy: 0.4158, Spearman: 0.4737
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Gost -1 utakmica'], Accuracy: 0.4289, Spearman: 0.6602
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Gost -1 utakmica'], Accuracy: 0.5605, Spearman: 0.8030
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Gost -1 utakmica'], Accuracy: 0.5526, Spearman: 0.6857
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Gost -1 utakmica'], Accuracy: 0.5368, Spearman: 0.6346
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Gost -1 utakmica'], Accuracy: 0.4184, Spearman: 0.5805
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Gost -2 utakmica'], Accuracy: 0.4421, Spearman: 0.6556
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Gost -2 utakmica'], Accuracy: 0.5526, Spearman: 0.7820
